,UDI,Product ID,Type,Air temperature [K],Rotational speed [rpm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
0,3416,L50595,L,301.4,0.31621459576431044,133.0,False,False,False,False,False,False
1,7130,L54309,L,300.6,0.316214595766845,107.0,False,False,False,False,False,False
2,2320,M17179,M,299.2,0.3162145957693682,185.0,False,False,False,False,False,False
3,9601,M24460,M,298.9,0.31621459576341365,58.0,False,False,False,False,False,False
4,614,L47793,L,298.1,0.3162145957668029,53.0,False,False,False,False,False,False
5,4602,M19461,M,303.0,0.31621459575072053,117.0,True,False,True,False,False,False
6,5247,L52426,L,300.0085898275486,0.31621459575781546,56.0,False,False,False,False,False,False
7,7008,L54187,L,300.5,0.31621459575996985,8.0,False,False,False,False,False,False
8,9375,M24234,M,297.8,0.3162145957578818,88.0,False,False,False,False,False,False
9,1962,L49141,L,297.8,0.31621459575665806,107.0,False,False,False,False,False,False
10,7006,M21865,M,300.0085898275486,0.31621459574768895,0.0,False,False,False,False,False,False
11,5551,M20410,M,302.3,0.3162145957605067,159.0,False,False,False,False,False,False
12,8974,L56153,L,296.8,0.3162145957627915,105.0,False,False,False,False,False,False
13,4228,L51407,L,302.2,0.31621459575166505,45.0,False,False,False,False,False,False
14,1489,L48668,L,298.2,0.3162145957637675,166.0,False,False,False,False,False,False
15,8525,L55704,L,298.3,0.316214595758014,10.0,False,False,False,False,False,False
16,4295,M19154,M,301.7,0.31621459577082883,210.0,False,False,False,False,False,False
17,6809,L53988,L,301.0,0.3162145957523327,123.0,False,False,False,False,False,False
18,4205,M19064,M,302.3,0.31621459576137234,210.0,False,False,False,False,False,False
19,7298,L54477,L,300.1,0.31621459576003014,107.0,False,False,False,False,False,False
20,4073,L51252,L,301.9,0.3162145957657588,108.0,False,False,False,False,False,False
21,9136,H38549,H,300.0085898275486,0.31621459575338395,97.0,False,False,False,False,False,False
22,8571,H37984,H,297.9,0.3162145957625796,120.0,False,False,False,False,False,False
24,4359,H33772,H,302.0,0.3162145957655784,156.0,False,False,False,False,False,False
25,5823,M20682,M,301.3,0.31621459575768224,214.0,False,False,False,False,False,False
26,1624,L48803,L,297.7,0.3162145957755328,68.0,False,False,False,False,False,False
27,8182,L55361,L,299.7,0.3162145957734965,183.0,False,False,False,False,False,False
28,4667,M19526,M,300.0085898275486,0.3162145957638175,47.0,False,False,False,False,False,False
29,1576,L48755,L,298.2,0.31621459577807426,168.0,False,False,False,False,False,False
30,263,M15122,M,298.1,0.31621459577060124,27.0,False,False,False,False,False,False
31,9944,M24803,M,298.3,0.3162145957715504,96.0,False,False,False,False,False,False
32,4296,L51475,L,301.8,0.31621459575727784,213.0,False,False,False,False,False,False
33,7969,L55148,L,300.9,0.31621459577285443,72.0,False,False,False,False,False,False
34,1870,M16729,M,298.3,0.3162145957666333,83.0,False,False,False,False,False,False
35,5712,L52891,L,302.2,0.3162145957625796,152.0,False,False,False,False,False,False
36,6409,L53588,L,300.3,0.31621459576535027,180.0,False,False,False,False,False,False
37,4084,M18943,M,302.0,0.31621459576371735,114.0,False,False,False,False,False,False
